UI_Number;Method;Bounds;Nonresponsive;Hidden;Dimensions
59576;ref_instruction;0;0;0;NO
61851;instruction;0;0;0;NO
61851;pd_zs;1;0;0;NO
61851;pd_fs;0;1;0;NO
61851;ref_instruction;0;2;0;NO
63575;instruction;0;0;0;NO
63575;pd_zs;0;3;0;NO
63575;pd_fs;0;6;1;NO
63575;ref_instruction;0;7;0;NO
64858;instruction;1;0;0;NO
64858;pd_zs;0;0;0;NO
64858;pd_fs;1;0;0;NO
64858;ref_instruction;0;4;1;NO
65592;instruction;0;5;0;NO
65592;pd_zs;0;0;0;NO
65592;pd_fs;0;5;0;NO
65592;ref_instruction;0;2;1;NO
67044;instruction;0;0;0;NO
67044;pd_zs;0;2;2;NO
67044;pd_fs;0;4;0;NO
67044;ref_instruction;1;0;1;NO
68368;instruction;0;3;0;NO
68368;pd_zs;0;3;0;YES
68368;pd_fs;0;3;0;NO
68368;ref_instruction;0;1;0;NO
69574;instruction;0;1;0;NO
69574;pd_zs;0;0;0;NO
69574;pd_fs;0;1;0;NO
69574;ref_instruction;0;1;0;NO
69587;instruction;1;0;0;NO
69587;pd_zs;0;1;0;NO
69587;pd_fs;0;3;0;NO
69587;ref_instruction;1;2;1;NO
70410;instruction;0;0;0;NO
70410;pd_zs;0;9;2;NO
70410;pd_fs;0;0;3;NO
70410;ref_instruction;0;8;0;NO
8640;instruction;0;0;0;NO
8640;pd_zs;0;0;0;NO
8640;pd_fs;0;1;0;NO
8640;ref_instruction;1;8;1;NO
